date,open,low,high,close
7/8/20 10:00,13535,13535,13715,13700
7/8/20 10:30,13695,13675,13730,13680
7/8/20 11:00,13675,13660,13685,13670
7/8/20 11:30,13680,13655,13685,13660
7/8/20 12:00,13660,13630,13665,13650
7/8/20 12:30,13650,13625,13675,13665
7/8/20 13:00,13665,13655,13675,13655
7/8/20 13:30,13650,13645,13660,13650
7/8/20 14:00,13660,13660,13675,13665
7/8/20 14:30,13665,13650,13670,13660
7/8/20 15:00,13665,13640,13665,13650
7/8/20 15:30,13650,13645,13670,13670
7/8/20 16:00,13670,13670,13690,13670
7/8/20 16:30,13675,13660,13680,13665
7/8/20 17:00,13665,13640,13665,13665
7/8/20 18:30,13665,13660,13690,13685
7/8/20 19:00,13680,13680,13705,13685
7/8/20 19:30,13680,13660,13690,13660
7/8/20 20:00,13660,13655,13670,13670
7/8/20 20:30,13670,13630,13675,13635
7/8/20 21:00,13635,13635,13655,13635
7/8/20 21:30,13635,13615,13640,13630
7/8/20 22:00,13635,13620,13635,13620
7/8/20 22:30,13615,13605,13630,13625
7/8/20 23:00,13620,13595,13620,13610
7/8/20 23:30,13605,13600,13615,13600
7/9/20 0:00,13595,13595,13615,13610
7/9/20 0:30,13610,13605,13625,13625
7/9/20 1:00,13625,13610,13625,13615
7/9/20 1:30,13615,13615,13625,13625
7/9/20 2:00,13620,13605,13620,13605
7/9/20 2:30,13605,13605,13625,13620
7/9/20 3:00,13620,13620,13640,13625
7/9/20 3:30,13630,13615,13630,13615
7/9/20 4:00,13615,13615,13625,13620
7/9/20 4:30,13620,13610,13620,13610
7/9/20 5:00,13605,13605,13615,13615
7/9/20 5:30,13605,13600,13605,13600
7/9/20 6:00,13605,13600,13615,13600
7/9/20 6:30,13600,13590,13605,13605
7/9/20 7:00,13600,13555,13600,13575
7/9/20 7:30,13570,13570,13600,13600
7/9/20 8:00,13605,13600,13620,13620
7/9/20 8:30,13620,13610,13635,13635
7/9/20 9:00,13635,13625,13655,13645
7/9/20 9:30,13645,13615,13645,13630
7/9/20 10:00,13625,13605,13630,13625
7/9/20 10:30,13625,13560,13630,13595
7/9/20 11:00,13595,13470,13605,13490
7/9/20 11:30,13485,13350,13485,13395
7/9/20 12:00,13395,13380,13425,13400
7/9/20 12:30,13395,13380,13420,13415
7/9/20 13:00,13415,13380,13415,13410
7/9/20 13:30,13405,13405,13430,13420
7/9/20 14:00,13420,13400,13425,13400
7/9/20 14:30,13400,13395,13425,13410
7/9/20 15:00,13410,13405,13430,13430
7/9/20 15:30,13435,13415,13440,13420
7/9/20 16:00,13415,13390,13415,13415
7/9/20 16:30,13415,13405,13425,13420
7/9/20 17:00,13420,13415,13440,13430
7/9/20 18:30,13435,13420,13440,13425
7/9/20 19:00,13430,13425,13440,13435
7/9/20 19:30,13435,13415,13435,13420
7/9/20 20:00,13420,13420,13440,13435
7/9/20 20:30,13425,13405,13430,13415
7/9/20 21:00,13430,13415,13435,13420
7/9/20 21:30,13420,13410,13425,13420
7/9/20 22:00,13420,13420,13425,13420
7/9/20 22:30,13420,13410,13425,13410
7/9/20 23:00,13405,13395,13415,13415
7/9/20 23:30,13415,13415,13430,13425
7/10/20 0:00,13420,13415,13425,13420
7/10/20 0:30,13425,13410,13430,13415
7/10/20 1:00,13410,13305,13415,13325
7/10/20 1:30,13325,13310,13350,13340
7/10/20 2:00,13340,13330,13340,13335
7/10/20 2:30,13340,13335,13350,13350
7/10/20 3:00,13355,13330,13355,13335
7/10/20 3:30,13320,13315,13345,13345
7/10/20 4:00,13350,13340,13355,13340
7/10/20 4:30,13345,13345,13380,13370
7/10/20 5:00,13375,13365,13390,13365
7/10/20 5:30,13360,13355,13370,13370
7/10/20 6:00,13365,13365,13380,13375
7/10/20 6:30,13380,13360,13385,13365
7/10/20 7:00,13355,13355,13380,13375
7/10/20 7:30,13380,13380,13395,13390
7/10/20 8:00,13360,13355,13365,13355
7/10/20 8:30,13355,13345,13375,13355
7/10/20 9:00,13360,13360,13395,13385
7/10/20 9:30,13395,13380,13400,13380
7/10/20 10:00,13375,13350,13380,13365
7/10/20 10:30,13365,13350,13370,13370
7/10/20 11:00,13375,13365,13385,13375
7/10/20 11:30,13375,13375,13425,13425
7/10/20 12:00,13425,13415,13445,13445
7/10/20 12:30,13445,13405,13445,13415
7/10/20 13:00,13410,13410,13430,13420
7/10/20 13:30,13420,13400,13425,13400
7/10/20 14:00,13400,13400,13425,13425
7/10/20 14:30,13415,13410,13425,13415
7/10/20 15:00,13410,13410,13420,13420
7/10/20 15:30,13415,13415,13435,13430
7/10/20 16:00,13435,13430,13440,13435
7/10/20 16:30,13435,13435,13445,13440
7/10/20 17:00,13445,13430,13445,13435
7/12/20 18:30,13450,13450,13545,13485
7/12/20 19:00,13495,13475,13500,13495
7/12/20 19:30,13495,13470,13495,13470
7/12/20 20:00,13485,13480,13505,13505
7/12/20 20:30,13505,13485,13520,13490
7/12/20 21:00,13490,13470,13490,13470
7/12/20 21:30,13480,13470,13485,13485
7/12/20 22:00,13485,13480,13500,13485
7/12/20 22:30,13485,13475,13485,13485
7/12/20 23:00,13485,13475,13490,13485
7/12/20 23:30,13485,13475,13490,13475
7/13/20 0:00,13475,13470,13480,13470
7/13/20 0:30,13470,13470,13485,13475
7/13/20 1:00,13470,13465,13480,13475
7/13/20 1:30,13480,13480,13490,13485
7/13/20 2:00,13480,13475,13485,13485
7/13/20 2:30,13485,13475,13490,13475
7/13/20 3:00,13480,13450,13485,13450
7/13/20 3:30,13460,13460,13485,13480
7/13/20 4:00,13475,13460,13485,13465
7/13/20 4:30,13470,13470,13490,13490
7/13/20 5:00,13485,13470,13490,13485
7/13/20 5:30,13485,13480,13495,13485
7/13/20 6:00,13490,13485,13495,13490
7/13/20 6:30,13495,13470,13510,13470
7/13/20 7:00,13475,13470,13495,13495
7/13/20 7:30,13500,13500,13520,13510
7/13/20 8:00,13505,13505,13525,13520
7/13/20 8:30,13525,13490,13570,13505
7/13/20 9:00,13505,13505,13540,13530
7/13/20 9:30,13530,13505,13540,13535
7/13/20 10:00,13535,13520,13555,13540
7/13/20 10:30,13540,13530,13545,13545
7/13/20 11:00,13550,13515,13550,13515
7/13/20 11:30,13515,13515,13530,13525
7/13/20 12:00,13520,13490,13520,13495
7/13/20 12:30,13500,13490,13510,13505
7/13/20 13:00,13500,13495,13510,13510
7/13/20 13:30,13510,13510,13530,13530
7/13/20 14:00,13525,13520,13535,13530
7/13/20 14:30,13515,13495,13520,13495
7/13/20 15:00,13490,13475,13495,13490
7/13/20 15:30,13495,13410,13495,13420
7/13/20 16:00,13420,13400,13445,13430
7/13/20 16:30,13425,13410,13430,13420
7/13/20 17:00,13425,13420,13460,13455
7/13/20 18:30,13435,13415,13435,13420
7/13/20 19:00,13425,13420,13435,13435
7/13/20 19:30,13430,13410,13430,13420
7/13/20 20:00,13435,13425,13440,13430
7/13/20 20:30,13430,13415,13435,13415
7/13/20 21:00,13410,13405,13420,13410
7/13/20 21:30,13410,13390,13435,13425
7/13/20 22:00,13430,13425,13435,13425
7/13/20 22:30,13430,13425,13430,13430
7/13/20 23:00,13425,13410,13425,13410
7/13/20 23:30,13415,13415,13430,13420
7/14/20 0:00,13420,13410,13425,13415
7/14/20 0:30,13410,13325,13410,13370
7/14/20 1:00,13365,13360,13380,13375
7/14/20 1:30,13375,13360,13375,13375
7/14/20 2:00,13380,13365,13380,13375
7/14/20 2:30,13370,13370,13380,13380
7/14/20 3:00,13385,13375,13385,13375
7/14/20 3:30,13375,13370,13375,13375
7/14/20 4:00,13370,13365,13375,13370
7/14/20 4:30,13370,13365,13390,13390
7/14/20 5:00,13390,13380,13395,13380
7/14/20 5:30,13380,13380,13395,13385
7/14/20 6:00,13390,13385,13395,13395
7/14/20 6:30,13395,13365,13395,13370
7/14/20 7:00,13380,13360,13380,13365
7/14/20 7:30,13365,13295,13415,13395
7/14/20 8:00,13400,13400,13435,13435
7/14/20 8:30,13440,13415,13445,13430
7/14/20 9:00,13430,13405,13435,13405
7/14/20 9:30,13405,13400,13420,13410
7/14/20 10:00,13410,13390,13430,13410
7/14/20 10:30,13410,13385,13420,13395
7/14/20 11:00,13405,13400,13430,13420
7/14/20 11:30,13415,13410,13425,13420
7/14/20 12:00,13425,13425,13440,13425
7/14/20 12:30,13425,13415,13445,13425
7/14/20 13:00,13425,13425,13440,13435
7/14/20 13:30,13435,13420,13450,13440
7/14/20 14:00,13440,13440,13480,13455
7/14/20 14:30,13450,13445,13460,13455
7/14/20 15:00,13455,13450,13460,13455
7/14/20 15:30,13450,13445,13455,13455
7/14/20 16:00,13455,13455,13475,13470
7/14/20 16:30,13470,13460,13475,13465
7/14/20 17:00,13470,13465,13475,13470
7/14/20 18:30,13455,13445,13470,13460
7/14/20 19:00,13465,13450,13470,13460
7/14/20 19:30,13460,13460,13475,13470
7/14/20 20:00,13470,13460,13470,13465
7/14/20 20:30,13460,13460,13480,13465
7/14/20 21:00,13465,13455,13465,13460
7/14/20 21:30,13460,13445,13465,13445
7/14/20 22:00,13440,13435,13455,13455
7/14/20 22:30,13455,13440,13455,13440
7/14/20 23:00,13440,13435,13445,13440
7/14/20 23:30,13440,13440,13450,13445
7/15/20 0:00,13445,13425,13445,13430
7/15/20 0:30,13425,13420,13435,13435
7/15/20 1:00,13440,13440,13445,13440
7/15/20 1:30,13440,13440,13445,13445
7/15/20 2:00,13440,13440,13440,13440
7/15/20 2:30,13440,13430,13445,13430
7/15/20 3:00,13430,13430,13435,13435
7/15/20 3:30,13420,13420,13430,13430
7/15/20 4:00,13420,13415,13435,13425
7/15/20 4:30,13425,13410,13425,13410
7/15/20 5:00,13405,13395,13415,13405
7/15/20 5:30,13400,13390,13405,13390
7/15/20 6:00,13390,13380,13410,13410
7/15/20 6:30,13405,13400,13435,13435
7/15/20 7:00,13435,13430,13440,13435
7/15/20 7:30,13435,13425,13435,13435
7/15/20 8:00,13435,13415,13440,13415
7/15/20 8:30,13415,13405,13425,13425
7/15/20 9:00,13430,13420,13435,13430
7/15/20 9:30,13430,13415,13435,13420
7/15/20 10:00,13420,13405,13425,13410
7/15/20 10:30,13405,13400,13425,13420
7/15/20 11:00,13420,13415,13430,13430
7/15/20 11:30,13430,13385,13435,13410
